,counts,MeSH,,,,CCL20,CCL4,CCL18,CCL8,CXCL10,CXCL11,CXCL5,CXCL9,DAPK2,S100A8
80,3,(CCL8) AND (Macrophages M0),,,,,,,,,,,,,
81,12,(CCL8) AND (Macrophages M1),,,,,,,,,,,,,
82,15,(CCL8) AND (Macrophages M2),,,,,,,,,,,,,
83,1,(CCL8) AND (Dendritic cells resting),,,,,,,,,,,,,
84,15,(CCL8) AND (Dendritic cells activated),,,,,,,,,,,,,
85,1,(CCL8) AND (Mast cells resting),,,,,,,,,,,,,
86,3,(CCL8) AND (Mast cells activated),,,,,,,,,,,,,
87,16,(CCL8) AND (Eosinophils),,,,,,,,,,,,,
88,27,(CCL8) AND (Neutrophils),,,,,,,,,,,,,
89,16,(CXCL10) AND (B cells naive),,,,,,,,,,,,,
90,22,(CXCL10) AND (B cells memory),,,,,,,,,,,,,
91,257,(CXCL10) AND (Plasma cells),,,,,,,,,,,,,
92,504,(CXCL10) AND (T cells CD8),,,,,,,,,,,,,
93,41,(CXCL10) AND (T cells CD4 naive),,,,,,,,,,,,,
94,8,(CXCL10) AND (T cells CD4 memory resting),,,,,,,,,,,,,
95,32,(CXCL10) AND (T cells CD4 memory activated),,,,,,,,,,,,,
96,16,(CXCL10) AND (T cells follicular helper),,,,,,,,,,,,,
97,30,(CXCL10) AND (T cells regulatory(Tregs)),,,,,,,,,,,,,
98,16,(CXCL10) AND (T cells gamma delta),,,,,,,,,,,,,
99,9,(CXCL10) AND (NK cells resting),,,,,,,,,,,,,
100,179,(CXCL10) AND (NK cells activated),,,,,,,,,,,,,
101,677,(CXCL10) AND (Monocytes),,,,,,,,,,,,,
102,20,(CXCL10) AND (Macrophages M0),,,,,,,,,,,,,
103,148,(CXCL10) AND (Macrophages M1),,,,,,,,,,,,,
104,136,(CXCL10) AND (Macrophages M2),,,,,,,,,,,,,
105,6,(CXCL10) AND (Dendritic cells resting),,,,,,,,,,,,,
106,230,(CXCL10) AND (Dendritic cells activated),,,,,,,,,,,,,
107,7,(CXCL10) AND (Mast cells resting),,,,,,,,,,,,,
108,35,(CXCL10) AND (Mast cells activated),,,,,,,,,,,,,
109,75,(CXCL10) AND (Eosinophils),,,,,,,,,,,,,
110,302,(CXCL10) AND (Neutrophils),,,,,,,,,,,,,
111,1,(CXCL11) AND (B cells naive),,,,,,,,,,,,,
112,3,(CXCL11) AND (B cells memory),,,,,,,,,,,,,
113,41,(CXCL11) AND (Plasma cells),,,,,,,,,,,,,
114,82,(CXCL11) AND (T cells CD8),,,,,,,,,,,,,
115,5,(CXCL11) AND (T cells CD4 naive),,,,,,,,,,,,,
116,2,(CXCL11) AND (T cells CD4 memory resting),,,,,,,,,,,,,
117,5,(CXCL11) AND (T cells CD4 memory activated),,,,,,,,,,,,,
118,1,(CXCL11) AND (T cells follicular helper),,,,,,,,,,,,,
119,6,(CXCL11) AND (T cells regulatory(Tregs)),,,,,,,,,,,,,
120,4,(CXCL11) AND (T cells gamma delta),,,,,,,,,,,,,
121,1,(CXCL11) AND (NK cells resting),,,,,,,,,,,,,
122,36,(CXCL11) AND (NK cells activated),,,,,,,,,,,,,
123,71,(CXCL11) AND (Monocytes),,,,,,,,,,,,,
124,4,(CXCL11) AND (Macrophages M0),,,,,,,,,,,,,
125,29,(CXCL11) AND (Macrophages M1),,,,,,,,,,,,,
126,25,(CXCL11) AND (Macrophages M2),,,,,,,,,,,,,
127,1,(CXCL11) AND (Dendritic cells resting),,,,,,,,,,,,,
128,25,(CXCL11) AND (Dendritic cells activated),,,,,,,,,,,,,
129,2,(CXCL11) AND (Mast cells resting),,,,,,,,,,,,,
130,7,(CXCL11) AND (Mast cells activated),,,,,,,,,,,,,
131,19,(CXCL11) AND (Eosinophils),,,,,,,,,,,,,
132,57,(CXCL11) AND (Neutrophils),,,,,,,,,,,,,
133,1,(CXCL5) AND (B cells naive),,,,,,,,,,,,,
134,2,(CXCL5) AND (B cells memory),,,,,,,,,,,,,
135,37,(CXCL5) AND (Plasma cells),,,,,,,,,,,,,
136,40,(CXCL5) AND (T cells CD8),,,,,,,,,,,,,
137,1,(CXCL5) AND (T cells CD4 naive),,,,,,,,,,,,,
138,0,(CXCL5) AND (T cells CD4 memory resting),,,,,,,,,,,,,
139,4,(CXCL5) AND (T cells CD4 memory activated),,,,,,,,,,,,,
140,1,(CXCL5) AND (T cells follicular helper),,,,,,,,,,,,,
141,4,(CXCL5) AND (T cells regulatory(Tregs)),,,,,,,,,,,,,
142,2,(CXCL5) AND (T cells gamma delta),,,,,,,,,,,,,
143,1,(CXCL5) AND (NK cells resting),,,,,,,,,,,,,
144,12,(CXCL5) AND (NK cells activated),,,,,,,,,,,,,
145,111,(CXCL5) AND (Monocytes),,,,,,,,,,,,,
146,7,(CXCL5) AND (Macrophages M0),,,,,,,,,,,,,
147,12,(CXCL5) AND (Macrophages M1),,,,,,,,,,,,,
148,25,(CXCL5) AND (Macrophages M2),,,,,,,,,,,,,
149,1,(CXCL5) AND (Dendritic cells resting),,,,,,,,,,,,,
150,14,(CXCL5) AND (Dendritic cells activated),,,,,,,,,,,,,
151,2,(CXCL5) AND (Mast cells resting),,,,,,,,,,,,,
152,6,(CXCL5) AND (Mast cells activated),,,,,,,,,,,,,
153,21,(CXCL5) AND (Eosinophils),,,,,,,,,,,,,
154,276,(CXCL5) AND (Neutrophils),,,,,,,,,,,,,
155,10,(CXCL9) AND (B cells naive),,,,,,,,,,,,,
156,10,(CXCL9) AND (B cells memory),,,,,,,,,,,,,
157,83,(CXCL9) AND (Plasma cells),,,,,,,,,,,,,
158,324,(CXCL9) AND (T cells CD8),,,,,,,,,,,,,
159,13,(CXCL9) AND (T cells CD4 naive),,,,,,,,,,,,,
