"entrizID","symbol","TCGA(COAD)","TCGA(READ)","GSE14333","GSE143985","GSE161158","GSE17536","GSE38832","GSE87211","GSE17537","GSE39582","GSE171680"
"4224","MEP1A",7,4,2,5,1,1,3,3,3,2,1
"92211","CDHR1",1,6,4,13,6,6,2,56,6,4,5
"1602","DACH1",9,18,3,7,2,2,4,60,5,3,30
"79908","BTNL8",18,9,5,25,16,18,21,6,18,19,33
"79154","DHRS11",34,22,17,38,5,12,13,27,4,7,13
"4602","MYB",43,26,15,2,7,10,11,65,9,9,20
"9185","REPS2",24,43,10,10,13,4,14,68,27,15,15
"6364","CCL20",16,15,29,1,11,26,9,113,7,5,25
"23604","DAPK2",15,13,27,30,26,31,12,43,37,10,18
"54795","TRPM4",35,32,7,70,9,13,8,31,8,16,55
"55512","SMPD3",32,16,34,60,15,32,33,8,23,26,14
"29091","STXBP6",40,39,8,6,18,7,17,37,65,31,31
"140803","TRPM6",10,27,21,24,39,37,7,9,49,11,91
"1088","CEACAM8",8,12,18,73,21,42,28,93,20,43,8
"5029","P2RY2",21,72,11,40,28,38,31,64,40,35,10
"55020","TTC38",38,42,25,32,73,68,16,34,16,27,23
"8792","TNFRSF11A",70,25,48,8,89,101,41,16,10,17,11
"2239","GPC4",53,73,30,15,25,15,18,91,17,28,109
"54852","PAQR5",23,76,52,37,56,21,32,145,14,18,7
"3382","ICA1",61,70,35,12,34,16,34,90,29,21,92
"64919","BCL11B",72,52,47,19,22,25,59,101,44,25,44
"6932","TCF7",39,98,20,14,20,27,22,198,26,23,24
"838","CASP5",13,8,43,23,31,55,27,189,36,8,90
"54576","UGT1A8",3,7,1,315.5,161.5,5,1,4,1,1,28
"65986","ZBTB10",57,136,33,11,10,11,19,196,12,13,32
"993","CDC25A",63,60,31,41,17,33,63,124,43,46,17
"5972","REN",5,97,50,63,43,100,6,104,32,47,4
"2444","FRK",115,108,41,27,60,23,52,32,21,20,57
"27293","SMPDL3B",27,54,64,42,35,30,100,38,76,56,63
"9618","TRAF4",56,51,91,59,23,47,42,98,33,51,48
"54923","LIME1",20,21,19,72,130,36,23,108,30,72,78
"79899","PRR5L",48,94,62,36,27,56,55,110,31,32,61
"2035","EPB41",117,66,39,9,74,19,51,100,41,38,104
"25797","QPCT",12,79,6,445,8,3,5,87,11,14,26
"81796","SLCO5A1",54,23,24,20,79,24,10,291,116,29,46
"3176","HNMT",74,91,56,197,71,48,29,88,22,22,56
"894","CCND2",92,71,46,18,55,17,39,282,46,49,43
"440348","NPIPB15",19,2,72,34,64,82,35,242,28,24,166.5
"57553","MICAL3",119,122,38,49,14,90,44,79,83,41,95
"79973","ZNF442",36,38,51,55,91,65,73,82,110,109,65
"678","ZFP36L2",96,87,83,3,12,110,38,158,61,45,98
"2041","EPHA1",62,126,59,29,24,34,83,119,98,77,86
"79703","C11orf80",49,62,176,53,36,71,92,92,39,55,79
"767","CA8",44,10,16,62,191,39,225,10,54,83,72
"11123","RCAN3",91,83,54,22,107,35,86,151,118,40,37
"7380","UPK3A",14,134,57,117,72,54,53,19,217,61,52
"2842","GPR19",46,48,88,97,42,22,114,207,102,74,41
"140801","RPL10L",2,3,68,262,30,40,58,149,42,64,166.5
"50853","VILL",66,33,40,224,38,329,45,21,15,39,58
"7367","UGT2B17",6,1,9,474,3,8,15,242,2,6,166.5
