"Dateset","Metric","Value","Model"
"GSE161158","Specificity",0.908240846192209,"original CMS model"
"GSE17536","Specificity",0.924559574820307,"original CMS model"
"GSE38832","Specificity",0.945027740557424,"original CMS model"
"GSE87211","Specificity",0.860355029585799,"original CMS model"
"GSE17537","Specificity",0.953430593673263,"original CMS model"
"GSE39582","Specificity",0.931109798444598,"original CMS model"
"GSE171680","Specificity",0.854157782515992,"original CMS model"
"TCGA(COAD)","Precision",0.715651967435549,"original CMS model"
"TCGA(READ)","Precision",0.651098259762309,"original CMS model"
"GSE14333","Precision",0.765392695539754,"original CMS model"
"GSE143985","Precision",0.572786690433749,"original CMS model"
"GSE161158","Precision",0.740374873353597,"original CMS model"
"GSE17536","Precision",0.721241464367884,"original CMS model"
"GSE38832","Precision",0.811479885057471,"original CMS model"
"GSE87211","Precision",0.805921052631579,"original CMS model"
"GSE17537","Precision",0.835497835497836,"original CMS model"
"GSE39582","Precision",0.762055657460049,"original CMS model"
"GSE171680","Precision",0.77887323943662,"original CMS model"
"TCGA(COAD)","Recall",0.604659197012138,"original CMS model"
"TCGA(READ)","Recall",0.477753831417625,"original CMS model"
"GSE14333","Recall",0.678183574879227,"original CMS model"
"GSE143985","Recall",0.508014566079082,"original CMS model"
"GSE161158","Recall",0.606339433006663,"original CMS model"
"GSE17536","Recall",0.620731039585646,"original CMS model"
"GSE38832","Recall",0.702952380952381,"original CMS model"
"GSE87211","Recall",0.409813596491228,"original CMS model"
"GSE17537","Recall",0.72579185520362,"original CMS model"
"GSE39582","Recall",0.677425798057531,"original CMS model"
"GSE171680","Recall",0.44,"original CMS model"
"TCGA(COAD)","F1",0.706796485888213,"original CMS model"
"TCGA(READ)","F1",0.55305829228243,"original CMS model"
"GSE14333","F1",0.802327472429406,"original CMS model"
"GSE143985","F1",0.517343444227006,"original CMS model"
"GSE161158","F1",0.687127752645819,"original CMS model"
"GSE17536","F1",0.739858490566038,"original CMS model"
"GSE38832","F1",0.838909009636475,"original CMS model"
"GSE87211","F1",0.473764843082556,"original CMS model"
"GSE17537","F1",0.856214169590143,"original CMS model"
"GSE39582","F1",0.781751572644035,"original CMS model"
"GSE171680","F1",0.688328664799253,"original CMS model"
